SO2,NO2,O3,PM2.5,,PM10,Cluster,
12.06677,26.20958,,50.27439,30.13337,49.60186,,2
9.960118,26.41441,,50.72553,39.43107,63.53241,,2
13.04219,28.175,,59.65634,30.04818,51.60436,,2
14.11042,30.42795,,45.04253,35.74404,59.89272,,2
16.46937,25.97069,,46.35258,22.80223,39.98683,,1
18.48907,26.0968,,44.78153,24.13195,42.33213,,2
18.12717,30.43428,,47.13201,31.88634,55.35957,,2
12.89451,29.31113,,49.7126,32.98932,56.23555,,2
15.81696,30.98423,,51.13015,37.64906,63.50005,,2
19.10204,24.19051,,43.98221,32.05375,51.60475,,2
18.61938,32.60081,,47.2455,44.29549,67.13523,,2
16.41037,35.52827,,51.02743,41.05484,66.06351,,2
8.366188,26.13899,,41.82598,36.02056,59.55751,,2
11.21164,25.1514,,46.96947,33.0719,56.43371,,2
11.98876,27.00611,,39.78329,34.16086,55.24834,,2
9.638429,26.95207,,34.13732,37.04973,56.75596,,2
14.72253,26.21604,,39.27724,33.60803,59.84784,,2
21.17153,31.39139,,36.93705,36.53107,61.41347,,2
15.81959,30.02838,,47.45229,30.58464,53.63174,,2
13.3143,27.73685,,40.8656,33.03922,53.26452,,2
10.74634,22.42141,,46.73105,29.19802,47.31586,,1
10.61887,21.84737,,46.46335,35.63475,55.72032,,2
15.12225,26.70842,,48.82722,29.6641,53.46988,,2
12.17269,27.61312,,45.59108,36.6892,57.49324,,2
11.01474,26.05942,,47.37272,29.55261,51.3817,,2
17.97438,28.66975,,46.88228,31.698,53.072,,2
32.24374,30.121,,41.88572,26.23878,47.96934,,2
15.76964,28.32273,,46.2794,28.7646,48.29084,,2
15.98757,25.8009,,50.21347,27.47834,47.79206,,2
16.67711,26.18958,,42.21314,29.65319,52.03932,,2
15.59458,26.84481,,45.91661,29.98062,50.12617,,2
15.06576,29.78035,,48.50211,30.82106,52.57311,,2
17.95459,25.87637,,45.97806,30.44611,53.80688,,2
16.1102,28.16228,,47.15117,30.53732,54.31331,,2
13.70504,29.69812,,48.899,30.48081,53.6288,,2
14.45348,28.90966,,48.01507,28.82634,52.60843,,2
13.17563,28.27352,,49.12206,29.68579,50.79571,,2
13.59211,27.07016,,49.92491,28.84652,49.07584,,2
15.11408,29.62761,,47.83269,31.19361,52.95857,,2
14.36928,30.72594,,48.1168,41.02162,63.22102,,2
14.63364,26.14692,,47.02546,38.01398,56.40772,,2
12.00733,26.27262,,48.67908,29.35994,51.45551,,2
16.05824,29.42307,,49.42283,32.88987,55.53944,,2
16.71937,30.15405,,49.17082,31.11609,55.07195,,2
15.60719,30.87048,,50.7989,30.79433,51.05346,,2
14.93149,28.8922,,49.03746,30.60604,50.85684,,2
15.48487,29.4469,,47.69012,30.3771,53.00102,,2
14.89512,31.64864,,46.94526,32.13801,55.95569,,2
16.00022,31.27229,,50.66459,31.60114,53.86658,,2
16.77964,27.36143,,49.39054,29.50081,50.23441,,2
15.16738,30.98164,,48.92195,31.83183,52.02191,,2
,,,,,,,
15.28029,32.47948,50.78512,32.05662,56.6031,2,,
14.74435,29.85571,48.3213,31.69063,53.86087,2,,
14.99207,28.44917,50.99426,28.58331,51.73711,2,,
15.61454,30.12633,50.08138,29.64863,49.28901,2,,
14.61829,27.48642,50.6199,31.17024,53.30702,2,,
15.26305,27.21462,50.68505,29.44423,51.31841,2,,
12.24059,29.93164,51.5124,31.0246,51.07039,2,,
16.1771,32.47371,35.2318,35.25112,59.94207,2,,
14.01686,28.15914,49.57156,29.50506,50.91708,2,,
16.41715,30.76212,49.58619,30.53414,53.38549,2,,
15.17971,31.53232,49.31357,32.90493,54.90622,2,,
18.61813,30.02252,49.8858,33.05715,56.20642,2,,
16.05881,30.83605,49.72173,30.11764,51.38644,2,,
24.2398,32.53128,43.60459,32.97836,57.9412,2,,
18.43292,31.3928,45.55496,30.10736,51.51554,2,,
19.26658,33.00695,44.10059,34.27271,57.3663,2,,
15.38981,31.25245,46.71818,31.73556,57.12188,2,,
17.30652,28.34149,44.26736,33.48825,55.37451,2,,
17.49414,33.36332,45.37866,31.55048,57.03692,2,,
13.65656,30.20475,48.88825,30.30232,51.31824,2,,
10.85899,27.5891,49.08349,28.95088,50.97794,2,,
13.60214,28.34203,45.75397,30.11186,52.43919,2,,
13.62549,30.30639,44.95938,31.38847,52.63788,2,,
13.70483,29.4915,44.16624,31.89565,52.06701,2,,
10.59813,27.05295,46.48839,27.58185,47.40524,1,,
12.77525,27.87076,44.23327,30.74095,52.75619,2,,
10.92631,26.35432,45.39167,29.5455,48.16514,2,,
10.90842,27.08526,47.69412,30.31544,53.38014,2,,
12.18333,29.19019,48.42705,28.07778,49.73334,2,,
12.97342,27.85097,46.30655,30.24908,51.56873,2,,
12.47431,28.51257,47.52877,29.30873,50.59191,2,,
12.84245,29.79053,47.17546,28.85144,47.87053,2,,
13.77672,29.95467,44.05712,32.46953,55.33966,2,,
13.26225,27.59787,46.27551,28.99679,51.649,2,,
13.00801,27.15137,46.29225,31.32753,52.99839,2,,
14.84494,27.8805,42.27397,25.91214,47.08701,2,,
13.2389,30.36132,45.95891,27.92529,51.40278,2,,
17.71889,29.66069,47.80702,29.19254,51.68662,2,,
31.05381,29.47865,46.68883,39.02199,58.95236,2,,
9.345438,24.34669,48.1747,23.36726,43.05384,1,,
10.85611,25.98902,47.45684,27.11538,46.72623,1,,
15.32223,29.28375,47.83776,28.75974,49.75212,2,,
18.79984,27.58383,39.25813,24.15263,42.61535,2,,
14.42575,29.98383,49.30975,29.40845,52.77106,2,,
15.48194,31.66097,46.74325,32.55183,58.98972,2,,
15.61549,30.43974,47.18158,31.87814,55.37293,2,,
15.76603,29.28174,49.80193,31.35567,51.29348,2,,
15.54942,29.44107,51.14903,31.71438,54.26524,2,,
15.59939,27.2317,48.39146,33.54834,57.53002,2,,
13.58653,29.49873,49.97273,30.49784,53.89574,2,,
14.65569,28.87431,46.46469,32.35693,57.58967,2,,
15.9491,29.92029,49.72712,32.48526,55.88738,2,,
,,,,,,,
14.39588,29.73322,52.4602,31.99189,54.53039,2,,
14.80737,29.66098,49.13099,30.54529,52.80806,2,,
14.03317,30.40718,50.20026,29.87997,52.11571,2,,
16.17638,30.62588,49.16243,30.74856,51.79095,2,,
12.71499,32.54625,39.87729,35.27147,43.25349,2,,
12.1034,31.36719,40.45336,34.12662,43.9522,2,,
9.222307,30.75876,34.48469,32.42397,49.23971,2,,
15.14099,31.91524,38.77413,31.11101,42.77628,2,,
8.286884,24.03108,40.45045,25.46041,33.58654,1,,
7.868631,24.42006,42.9335,21.22117,32.60075,1,,
9.943721,26.31216,40.81621,23.81091,35.64524,1,,
9.437253,22.67927,42.4989,24.31516,35.9506,1,,
8.621288,20.95868,41.88849,19.64926,32.2141,1,,
11.80861,24.07934,33.77213,27.54052,42.57463,2,,
11.09427,28.80093,34.83724,27.30016,43.55289,2,,
11.295,29.43364,39.71758,25.29551,39.98295,2,,
11.44988,28.00651,42.1324,29.37146,47.89482,2,,
12.67059,27.75115,42.07052,29.11224,46.11757,2,,
10.63995,24.58921,39.56042,27.18392,44.05374,1,,
28.69331,29.07553,36.29154,31.36317,51.56739,2,,
15.33259,27.88907,46.32725,32.38888,53.06263,2,,
13.59042,27.34851,43.52568,31.46736,53.01717,2,,
12.27431,29.48162,35.74372,27.39496,44.68773,2,,
21.07806,25.89979,36.40433,25.95185,40.15266,2,,
19.9015,31.61721,39.0049,27.47871,40.47342,2,,
10.51703,26.51732,34.72471,27.12667,39.74611,2,,
10.48803,24.67111,28.88591,26.53696,41.35137,2,,
13.43511,28.96072,32.25341,42.66259,52.65736,2,,
12.97226,32.11311,31.11787,41.39037,56.58283,2,,
11.60408,32.59717,30.91074,34.7041,49.16215,2,,
13.56649,34.92466,31.21008,40.29087,59.49764,2,,
11.89699,30.34607,35.48817,30.65857,46.42431,2,,
11.79461,29.88135,30.83599,24.0542,39.9392,2,,
9.003622,26.64522,29.08341,26.61996,38.6091,2,,
8.320222,25.97349,25.51681,20.47781,34.38667,1,,
14.29736,32.743,24.22211,29.38238,43.18924,2,,
21.5532,37.29374,25.27814,36.25558,56.77925,2,,
17.75925,33.07357,23.77311,38.06443,66.90182,2,,
15.33457,32.75459,33.56605,36.74259,64.53671,2,,
10.95147,27.60492,32.338,34.48868,55.12486,2,,
5.73915,17.80069,36.92572,20.40633,32.86912,1,,
10.10084,16.88096,29.13214,15.92817,19.43024,1,,
27.74494,31.4541,21.6714,34.97981,57.09962,2,,
13.82078,31.45278,32.14506,37.57601,66.59999,2,,
10.59549,27.2056,32.41847,30.51026,50.78291,2,,
13.20506,29.00061,30.39868,33.36634,76.23449,2,,
8.138264,17.58789,35.21739,23.1815,37.3629,1,,
33.11221,38.8823,30.9502,34.50228,53.0868,0,,
28.27536,50.34844,31.02438,55.74462,92.27561,0,,
23.00403,53.15813,32.36618,55.74462,100.0649,0,,
26.59909,53.15813,34.41297,55.74462,100.0649,0,,
23.60232,47.32733,34.11069,55.74462,96.73428,0,,
,,,,,,,
26.94058,49.56931,31.69488,55.74462,90.89171,0,,
13.85319,33.87424,44.39099,46.66675,94.22094,0,,
9.390698,24.15265,43.54225,19.25226,46.05376,1,,
9.824664,18.75009,35.26161,15.39415,19.15504,1,,
12.5804,22.5381,35.75498,21.62733,32.42984,1,,
25.59611,36.1648,35.18258,38.68104,63.80309,0,,
18.65135,34.30699,38.66586,42.12988,66.48827,2,,
20.10993,35.99388,36.59403,33.50533,62.07004,2,,
33.29393,43.16192,31.763,33.18635,74.20918,0,,
21.85552,35.35316,34.64784,36.24887,64.02492,2,,
16.9424,39.0242,43.98498,24.54465,51.35962,2,,
10.53032,24.44557,31.5208,22.64618,39.40837,1,,
20.63247,34.27204,35.47468,35.35089,72.43255,2,,
18.04904,32.0691,32.14515,40.19181,64.28827,2,,
19.05646,34.24024,30.15003,34.97468,62.30153,2,,
26.09804,43.41356,31.9974,52.99995,79.44174,0,,
23.9713,44.48895,36.99821,48.12433,92.43291,0,,
22.05445,35.26928,34.37261,41.89529,77.23933,0,,
5.374493,15.03298,32.26442,15.22688,28.08233,1,,
7.027227,15.18877,34.52827,14.93429,24.57162,1,,
13.58847,20.74357,32.4842,17.24727,25.46519,1,,
14.74722,33.7066,28.39946,33.58002,58.87447,2,,
18.87248,39.00198,31.83959,36.62216,70.71868,0,,
28.13441,45.896,33.31229,39.903,92.99004,0,,
10.80442,31.40036,33.56391,30.08591,50.21786,2,,
12.65648,26.9556,30.31487,44.62568,49.23621,2,,
16.97776,30.66144,32.95469,40.8616,72.75261,2,,
14.89972,30.13112,35.34909,30.21282,49.07694,2,,
13.33208,25.03612,40.11278,31.55481,55.58727,2,,
11.463,24.53361,37.10444,25.78467,39.95079,1,,
21.54736,26.60362,28.35803,27.72862,33.66832,2,,
33.29393,34.32382,29.50255,51.30004,59.9399,0,,
33.29393,37.17471,29.42175,45.88832,59.37646,0,,
27.15056,31.50556,31.39882,41.73766,51.12778,2,,
27.83809,32.06846,31.17722,39.32804,59.40708,2,,
32.53607,33.54442,27.81968,40.41014,58.44457,0,,
31.57447,35.01386,30.98031,41.71191,61.70158,0,,
33.29393,36.78649,33.07474,48.45373,58.71629,0,,
30.80366,36.10589,31.64197,52.45814,65.91378,0,,
22.13421,32.22507,36.00416,43.92615,60.55643,2,,
12.73759,26.98124,32.35216,39.59678,52.07516,2,,
33.06044,28.56614,33.00797,35.20802,40.79142,2,,
20.68599,33.02217,36.6679,51.91602,60.91671,0,,
24.38225,37.69485,37.95002,49.16331,77.09619,0,,
15.02257,36.19127,37.66006,51.62685,77.90452,0,,
22.87077,35.65302,40.01797,50.09535,89.55771,0,,
25.14518,43.45176,38.84111,55.74462,92.92173,0,,
22.21464,42.67405,46.9785,52.93003,91.64883,0,,
21.08685,35.73782,46.25862,46.89286,90.35215,0,,
18.18581,37.79753,47.56382,44.34804,81.46886,0,,
19.0333,25.45759,34.45654,28.50324,33.3059,2,,
19.7023,30.03619,31.11857,31.80043,37.72623,2,,
,,,,,,,
21.34556,31.91544,36.86246,35.9391,64.48908,2,,
6.911058,20.08085,35.59082,27.98769,34.02814,1,,
24.95374,29.5681,31.08415,38.72831,58.17076,2,,
33.29393,36.42439,30.26442,35.03889,52.39298,2,,
30.28628,38.06008,33.32372,37.20754,74.35469,0,,
28.17624,35.44754,36.70652,32.7322,69.05845,2,,
18.27194,32.40968,39.49924,30.39622,70.54989,2,,
18.72697,37.94142,38.09927,31.71678,75.81998,2,,
14.34902,33.36708,39.9683,32.7314,82.74498,2,,
15.38877,23.43553,38.39381,22.24373,42.92289,2,,
30.63068,32.33996,39.00656,30.42877,55.89957,2,,
13.74978,29.35171,38.5058,28.48517,52.92647,2,,
16.99432,30.77219,39.57599,32.02579,63.13358,2,,
11.18679,29.67888,35.87157,31.35141,65.99495,2,,
11.90124,27.10486,37.67803,31.04313,69.7528,2,,
16.23496,38.3443,28.99706,37.25874,79.06663,0,,
15.75993,35.35336,46.46072,37.87624,82.45832,0,,
14.57996,25.36709,48.88603,32.34189,73.71967,2,,
19.14901,30.53426,31.74562,19.53173,32.87011,2,,
22.91262,28.58847,32.30833,22.35346,36.69426,2,,
33.29393,35.68169,26.80093,30.42146,52.58182,2,,
29.48218,37.37085,32.71927,33.42449,60.75433,0,,
19.2467,34.15484,36.17649,35.74542,72.60746,2,,
18.27333,32.14342,46.58287,28.90762,60.01557,2,,
16.34657,33.20418,52.39799,32.09398,75.32774,2,,
18.0233,36.52074,51.48139,38.76369,90.90011,0,,
10.98616,30.38915,60.61393,25.91014,62.01613,2,,
13.2193,24.8223,38.61659,20.02581,39.27262,1,,
22.21629,37.18317,43.95484,36.19774,82.27888,0,,
15.57161,39.95581,49.37606,46.66177,98.82607,0,,
25.93949,42.68643,50.33849,46.36606,95.62092,0,,
15.88433,32.14087,49.32775,34.98503,71.77668,2,,
11.89618,32.29252,46.95817,32.7613,66.00339,2,,
25.95667,41.39504,53.49145,43.25229,88.64258,0,,
18.21223,39.45685,50.05618,41.36029,85.55957,0,,
23.47873,39.08049,48.21389,39.61784,73.76979,0,,
8.535292,23.06565,48.87264,28.26865,61.91348,1,,
9.678976,19.59774,44.50023,23.69976,38.24418,1,,
11.39121,21.93656,41.69706,24.19324,38.46851,1,,
13.53072,30.47992,40.33539,30.3959,65.12471,2,,
14.91296,30.76799,42.5781,36.29323,79.01443,2,,
24.30425,36.64086,44.55802,35.4901,69.67811,2,,
24.61543,42.30088,53.81493,38.12973,86.32565,0,,
20.54982,35.77591,56.65577,33.62687,75.70996,2,,
18.78054,42.55018,58.61466,39.16565,88.12773,0,,
14.2185,30.62638,66.96468,35.64979,63.62478,2,,
13.5184,36.22205,64.2321,33.67048,82.8286,2,,
13.5909,37.36336,63.93151,40.38661,78.832,2,,
11.67225,34.31709,64.36069,32.72235,72.57392,2,,
12.38594,28.56162,54.98705,36.53219,82.06926,2,,
10.1092,23.21895,42.88724,27.51793,46.18964,1,,
14.84617,29.56416,49.92312,31.94342,67.56501,2,,
,,,,,,,
14.43386,23.64063,54.79651,27.81919,52.69376,1,,
6.92066,18.90587,52.7347,26.70534,48.58014,1,,
14.81797,27.16697,47.72977,29.52506,59.287,2,,
15.13944,29.80153,43.98246,29.44768,64.31963,2,,
12.68072,29.468,47.15579,34.65424,75.74646,2,,
10.64629,28.11767,46.19196,32.44397,72.84625,2,,
22.82728,28.78303,41.76954,27.33384,56.96399,2,,
19.1184,29.28963,46.81946,29.77334,55.77749,2,,
14.8928,29.20217,48.09469,28.33016,64.0394,2,,
12.7223,33.22393,51.20925,36.75725,78.98467,2,,
14.54685,34.04286,53.549,38.83656,85.85018,2,,
10.65861,25.58276,56.29231,27.23009,68.32224,2,,
13.74233,30.22031,56.56527,31.82024,61.14392,2,,
7.683989,27.16407,58.19804,22.09578,62.69136,1,,
7.172479,26.21426,64.0383,30.69195,41.1396,1,,
6.141386,23.41922,46.81889,25.98346,39.94898,1,,
9.069395,24.80974,45.80039,26.79064,37.10299,1,,
8.755119,25.39753,43.06731,17.53231,40.62581,1,,
14.64026,34.46784,44.46111,23.74785,44.39151,2,,
9.597257,34.78277,47.70195,24.49751,51.06367,2,,
11.11255,39.51645,51.36253,29.5898,58.20569,2,,
13.49499,30.48014,52.19338,26.694,58.43329,2,,
13.98774,31.38331,50.44439,29.9667,74.20233,2,,
10.87693,29.51069,53.97483,28.26466,55.641,2,,
13.19045,33.55377,51.07592,32.9482,78.04139,2,,
20.85951,42.29256,51.04363,34.06243,80.99983,0,,
11.64167,32.46776,55.68641,26.01134,54.5347,2,,
7.753705,27.27386,55.93963,24.16472,53.14129,1,,
7.943126,26.57428,50.72187,25.27518,49.69353,1,,
10.34646,31.74359,50.89983,29.317,44.94889,2,,
7.711049,28.33388,54.07172,33.08322,61.50453,2,,
8.885735,30.3509,58.34135,38.96418,82.43358,2,,
5.444137,19.49071,44.75572,19.06382,27.86568,1,,
8.898873,31.67484,47.5793,26.59533,47.34394,2,,
10.18366,22.03197,54.1619,27.5964,46.22714,1,,
6.672085,19.55697,54.15453,26.66017,44.9259,1,,
8.040019,26.86631,46.33838,31.0769,52.83092,2,,
7.556719,23.85436,44.51587,27.94174,44.90734,1,,
9.783026,24.9953,44.03691,36.16079,54.22347,2,,
12.53338,25.00094,47.67581,28.96094,50.20544,2,,
8.633174,22.50505,58.3385,37.2024,51.29652,1,,
9.56381,19.67907,62.17983,41.43101,51.71864,1,,
8.61269,19.70275,60.79764,45.3934,53.17966,2,,
11.30493,23.22764,45.11284,30.96439,41.32476,1,,
20.54172,21.59344,40.48898,22.83059,40.32295,2,,
14.51504,19.6911,45.2627,31.16189,42.88545,2,,
12.59839,23.37717,41.32108,31.4289,56.95087,2,,
18.01239,21.6369,53.44402,32.16624,57.73892,2,,
7.594283,13.73529,51.94542,21.04023,34.63772,1,,
10.77283,17.94861,46.47409,21.66863,34.79149,1,,
12.49802,24.508,44.14262,34.25213,63.653,2,,
13.51658,25.1386,50.51235,25.14219,41.22565,1,,
,,,,,,,
19.41729,26.77515,58.90602,29.03689,71.15929,2,,
15.68634,29.66697,53.18827,30.82168,86.14283,2,,
20.03399,24.19781,56.59198,32.78849,82.20377,2,,
13.52451,23.66109,55.34254,26.82948,64.54642,2,,
7.665221,15.15588,59.88491,23.23077,57.08967,1,,
8.995329,15.77194,48.23874,20.04853,50.15607,1,,
18.74049,25.89305,45.71108,31.21492,71.56971,2,,
11.90236,25.28756,53.65684,28.05914,74.62572,2,,
13.22116,20.55679,62.1879,25.01053,59.88369,1,,
14.72208,28.6749,52.94061,28.52423,67.95422,2,,
27.2984,25.93528,58.47321,32.72718,68.8929,2,,
10.90305,20.27768,50.11285,25.24441,50.8426,1,,
9.244791,21.79813,56.36025,20.24265,39.39417,1,,
17.46446,21.91504,33.27288,22.51324,39.61102,2,,
10.89795,20.97693,42.7666,19.32012,34.8784,1,,
12.03063,22.02586,45.92325,19.98097,44.09377,1,,
11.66347,18.67702,41.16635,18.81409,38.93661,1,,
11.0873,24.90569,39.95834,22.46264,51.52584,1,,
23.59889,20.90825,50.25092,23.51229,55.94681,2,,
12.55879,22.78204,49.07692,22.7057,54.82973,1,,
13.26919,19.77792,52.17978,25.67468,56.90805,1,,
19.96113,25.13133,43.05971,24.74265,52.62534,2,,
11.48751,21.90038,43.40618,28.80864,51.39837,2,,
8.844738,17.23078,52.13087,20.15744,32.15072,1,,
9.82027,18.16579,47.32518,25.33971,45.89379,1,,
14.49959,19.07081,44.25524,22.90307,42.51665,1,,
10.10135,17.16868,48.84038,25.61069,44.85838,1,,
7.338608,19.32894,50.34842,29.78099,64.28946,1,,
19.11147,23.7547,50.85655,31.75961,53.46351,2,,
15.50549,22.2491,51.0603,35.64322,58.50086,2,,
14.43901,19.69046,29.58357,22.88082,29.90806,1,,
13.54551,16.13768,29.56885,24.19233,38.95768,1,,
9.052228,16.50915,42.75623,22.15388,37.35119,1,,
8.007954,19.62007,37.37244,23.26404,39.97622,1,,
12.50001,22.401,45.36344,28.23672,52.23112,2,,
8.395481,18.05423,53.24206,29.75266,45.47422,1,,
8.158036,16.73113,44.65484,21.68151,35.66221,1,,
12.62773,19.78428,46.25112,27.19433,49.34691,1,,
15.37908,19.37942,54.56293,35.26713,61.22012,2,,
13.15805,19.94885,53.51885,30.80869,59.44574,2,,
8.829724,16.09093,52.51207,27.59055,48.37263,1,,
17.65969,18.1585,53.85195,39.07908,87.53918,2,,
11.01994,17.76532,52.33428,29.28647,46.86902,1,,
13.94025,21.21782,49.28064,44.18596,63.02886,2,,
11.50664,14.80894,54.81613,41.1072,72.79189,2,,
13.23319,15.61545,49.41058,27.77522,47.97853,1,,
18.22214,14.85379,51.76119,37.53736,64.65566,2,,
7.588231,12.91324,39.15685,35.25253,62.5295,2,,
7.229422,11.50667,37.99255,28.13729,50.45936,1,,
7.809295,17.11552,43.68561,27.30445,47.01066,1,,
29.57609,18.28596,46.51943,30.88431,55.73258,2,,
10.68641,17.61326,46.23888,43.32324,64.94938,2,,
,,,,,,,
9.070894,17.79019,42.87148,29.62594,48.97596,1,,
13.28388,21.83343,48.38893,30.66669,50.61137,2,,
13.57817,22.26838,49.38623,30.76896,52.39275,2,,
11.66595,22.54177,51.22383,29.09376,49.76466,1,,
15.06181,22.52324,53.37627,33.76749,53.33351,2,,
12.51911,22.045,52.44647,32.43079,53.49048,2,,
11.28967,25.33305,50.47579,28.41969,47.06052,1,,
15.54727,25.23356,51.54366,29.80172,51.66098,2,,
15.07752,29.74402,54.14406,32.28387,55.89878,2,,
13.28812,29.62056,54.37062,28.53627,50.86476,2,,
15.90647,25.49151,55.06918,34.83828,58.72568,2,,
14.49663,24.38818,58.51614,31.56315,53.84407,2,,
11.23307,19.8582,57.74568,36.94482,53.43602,1,,
15.90745,25.19341,55.30157,42.66796,63.62588,2,,
22.91832,23.92543,51.07998,35.59431,55.03316,2,,
20.9433,19.16115,46.19807,25.81586,46.05238,2,,
13.89279,17.0126,38.63924,27.8935,46.04147,1,,
19.48061,16.98645,37.48821,21.79185,38.91745,1,,
20.48346,18.59995,36.11841,28.28211,43.75757,2,,
26.12069,20.8571,42.38805,26.89499,38.10911,2,,
24.47002,25.20388,38.97907,28.38914,47.66275,2,,
12.33486,20.73626,49.87644,42.36145,53.87937,2,,
16.27036,16.61446,43.21343,37.2364,46.262,2,,
14.44702,21.442,42.89663,44.59862,56.62726,2,,
9.554543,21.6806,47.74909,31.52776,52.21944,1,,
24.21448,21.64003,47.22753,35.88361,46.7484,2,,
28.4941,25.15988,46.77502,37.82166,58.12415,2,,
30.58315,22.19831,42.35004,40.39719,54.65626,2,,
15.05901,22.74877,48.23833,28.28426,51.98756,2,,
11.59275,26.53685,46.3507,37.23463,50.92325,2,,
11.31191,27.24495,46.68994,32.49065,47.85684,2,,
26.16294,29.44466,48.19911,37.85327,56.29076,2,,
12.9099,25.82993,50.06078,35.1926,61.95054,2,,
13.36483,32.71855,57.22948,44.27741,80.32544,2,,
17.08976,35.05836,49.29796,40.25634,69.30063,2,,
18.01092,31.94855,49.07422,49.11774,78.64487,0,,
15.72673,29.57164,43.00372,42.39914,65.29042,2,,
11.55392,28.29209,41.62261,44.32042,72.55847,2,,
11.84817,22.71974,37.97893,32.06362,54.52934,2,,
10.64777,27.28777,54.78461,40.18461,62.66601,2,,
8.596585,24.46764,36.60855,49.34073,62.12812,2,,
7.942951,23.92441,35.67731,46.63702,90.39997,2,,
4.309211,13.05424,35.7078,14.35017,27.56083,1,,
7.983061,19.62432,32.52431,15.67383,29.22791,1,,
13.47175,27.05815,30.49412,25.33383,47.90079,2,,
11.92005,27.95538,35.03975,42.26967,76.02744,2,,
13.32779,29.63549,37.05535,52.35017,81.8664,0,,
10.88849,25.66851,33.58192,37.8445,63.472,2,,
10.00325,26.9864,30.81842,43.90517,69.13933,2,,
16.65249,24.88958,37.82773,48.15467,63.7155,2,,
14.08757,22.51333,29.96494,46.04583,62.93433,2,,
9.707636,22.29756,30.6523,28.832,43.16583,2,,
,,,,,,,
9.678525,22.2869,24.14559,35.51433,51.56817,2,,
9.081354,23.84294,27.64616,30.71067,45.37233,2,,
10.91996,20.62481,25.68381,19.65983,35.63443,1,,
16.77369,25.49167,25.29697,27.7215,44.4164,2,,
12.9083,23.45813,28.69126,31.64517,49.33066,2,,
16.78168,26.0296,30.69939,29.10288,45.85152,2,,
21.44941,29.10955,36.54154,32.14835,48.94062,2,,
19.82577,26.92334,32.39303,24.39238,46.14893,2,,
18.15839,26.48849,38.16585,34.31917,53.17833,2,,
21.43319,26.44284,39.05278,33.99917,51.29,2,,
